,광역시도,시군,pop,moon,hong,ahn,yu,sim
93,경기도,고양시일산동구,188297,81622.0,34980.0,41166.0,13989.0,15308.0
94,경기도,고양시일산서구,192610,85919.0,35147.0,41563.0,13991.0,14764.0
95,경기도,과천시,40789,16528.0,9055.0,8736.0,3354.0,2814.0
96,경기도,의왕시,103913,43869.0,21218.0,23602.0,7575.0,6902.0
97,경기도,구리시,123469,51181.0,26113.0,28698.0,8167.0,8386.0
98,경기도,남양주시,397972,165079.0,86026.0,92048.0,25471.0,26319.0
99,경기도,오산시,118683,52358.0,21829.0,27201.0,7893.0,8415.0
100,경기도,화성시,386002,176940.0,69014.0,84967.0,26194.0,25910.0
101,경기도,시흥시,239227,103732.0,43248.0,58119.0,14846.0,17127.0
102,경기도,군포시,186084,82551.0,34784.0,41883.0,12884.0,12595.0
103,경기도,하남시,138937,57298.0,31793.0,30999.0,9680.0,8135.0
104,경기도,파주시,256847,107148.0,55347.0,54921.0,16819.0,20208.0
105,경기도,여주시,65695,20474.0,21581.0,14545.0,3936.0,4387.0
106,경기도,이천시,121841,44109.0,33301.0,26695.0,7913.0,8489.0
107,경기도,용인시처인구,134872,50423.0,33153.0,32027.0,8707.0,9227.0
108,경기도,용인시수지구,225513,95325.0,50229.0,47125.0,18555.0,13042.0
109,경기도,용인시기흥구,261414,116017.0,53405.0,55393.0,18992.0,16026.0
110,경기도,안성시,106490,39380.0,26693.0,25193.0,6427.0,7651.0
111,경기도,김포시,225075,93697.0,48490.0,51081.0,15614.0,14517.0
112,경기도,광주시,199221,80175.0,45030.0,46829.0,12629.0,12860.0
113,경기도,포천시,90620,27632.0,28030.0,22505.0,5781.0,5529.0
114,경기도,연천군,28675,8384.0,9557.0,6805.0,1901.0,1581.0
115,경기도,양평군,71056,21329.0,24800.0,15653.0,4216.0,4194.0
116,경기도,가평군,38897,10873.0,13865.0,9089.0,2231.0,2103.0
117,강원도,춘천시,175879,66874.0,43494.0,38684.0,12402.0,12758.0
118,강원도,원주시,204233,77495.0,50750.0,45776.0,13797.0,14406.0
119,강원도,강릉시,132395,41565.0,44421.0,26895.0,9690.0,8368.0
120,강원도,동해시,55542,17184.0,19009.0,11345.0,3917.0,3406.0
121,강원도,삼척시,44097,13496.0,15971.0,8185.0,2878.0,2898.0
122,강원도,태백시,28101,9557.0,10046.0,4971.0,1468.0,1736.0
123,강원도,정선군,23859,8270.0,8323.0,4489.0,1170.0,1215.0
124,강원도,속초시,46985,15045.0,13883.0,11031.0,3422.0,3143.0
