,Oil_store,Address,Price,Self,Brand,Location
1,구인주유소,서울 구로구 경인로 558 (구로동),1497.0,N,SK에너지,구로구
2,SK구로주유소,서울 구로구 구일로 94 (구로동),1498.0,N,SK에너지,구로구
3,신성주유소,서울 구로구 구로동로 187 (구로제2동),1499.0,Y,현대오일뱅크,구로구
4,서울석유(주)풀페이주유소,서울 구로구 경인로 41 (온수동),1505.0,N,SK에너지,구로구
5,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),1519.0,Y,S-OIL,구로구
6,처음처럼주유소,서울 구로구 오리로 1299 (궁동),1519.0,N,S-OIL,구로구
7,현대오일뱅크㈜직영 신오류주유소,서울 구로구 경인로 161 (오류동),1520.0,N,현대오일뱅크,구로구
8,대원셀프주유소,서울 구로구 개봉로 7,1525.0,Y,현대오일뱅크,구로구
9,JHC에너지,서울 구로구 시흥대로 539,1536.0,N,현대오일뱅크,구로구
10, 현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,1538.0,Y,현대오일뱅크,구로구
11,시몬주유소,서울 구로구 부일로 871,1547.0,N,S-OIL,구로구
12,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),1549.0,N,GS칼텍스,구로구
13,정은주유소,서울 구로구 경인로 407 (고척동),1557.0,N,현대오일뱅크,구로구
14,동선주유소,서울 구로구 경인로 150 (오류동),1565.0,N,GS칼텍스,구로구
15,근린공원주유소,서울 구로구 고척로 199 (고척동),1567.0,N,S-OIL,구로구
16,개봉주유소,서울 구로구 고척로 115 (개봉동),1569.0,Y,현대오일뱅크,구로구
17,SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),1599.0,N,SK에너지,구로구
18,영진주유소,서울 구로구 구로동로 20 (가리봉동),1599.0,N,S-OIL,구로구
19,현대오일뱅크(주)직영 신구로주유소,서울 구로구 가마산로 293 (구로동),1618.0,N,현대오일뱅크,구로구
20,동아주유소,서울 구로구 도림로 91 (구로동),1798.0,N,S-OIL,구로구
21,구로주유소,서울 구로구 구로동로 137 (구로동),1998.0,N,GS칼텍스,구로구
0,구광주유소,서울특별시 금천구  서부샛길 674 (가산동),1505.0,N,S-OIL,금천구
1,(주)진우에너지 백운주유소,서울 금천구 시흥대로 282 (독산동),1529.0,Y,알뜰주유소,금천구
2,명보에너지,서울 금천구 시흥대로 377 (독산동),1535.0,N,알뜰주유소,금천구
3,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),1535.0,Y,S-OIL,금천구
4,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),1535.0,Y,GS칼텍스,금천구
5,현대오일뱅크(주)직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),1535.0,Y,현대오일뱅크,금천구
6,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,1535.0,Y,GS칼텍스,금천구
7,남서울경복에너지,서울 금천구 독산로 257 (독산동),1545.0,Y,S-OIL,금천구
8,(주)태영유업 독산고개,서울 금천구 시흥대로 484,1545.0,Y,현대오일뱅크,금천구
9,현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),1549.0,N,현대오일뱅크,금천구
10,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,1593.0,N,SK에너지,금천구
11,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),1598.0,N,SK에너지,금천구
